Timestamp,S6I
2021-01-01 01:16:00,34.9
2021-01-01 01:16:30,30.883
2021-01-01 01:17:00,32.21
2021-01-01 01:17:30,29.355
2021-01-01 01:18:00,29.09
2021-01-01 01:18:30,30.392
2021-01-01 01:19:00,
2021-01-01 01:19:30,
2021-01-01 01:20:00,30.445
2021-01-01 01:20:30,34.786
2021-01-01 01:21:00,34.048
2021-01-01 01:21:30,25.88
2021-01-01 01:22:00,28.047
2021-01-01 01:22:30,33.737
2021-01-01 01:23:00,30.521
2021-01-01 01:23:30,33.335
2021-01-01 01:24:00,37.191
2021-01-01 01:24:30,29.109
2021-01-01 01:25:00,30.543
2021-01-01 01:25:30,
2021-01-01 01:26:00,36.314
2021-01-01 01:26:30,28.597
2021-01-01 01:27:00,28.635
2021-01-01 01:27:30,36.964
2021-01-01 01:28:00,30.604
2021-01-01 01:28:30,30.091
2021-01-01 01:29:00,29.109
2021-01-01 01:29:30,34.062
2021-01-01 01:30:00,36.745
2021-01-01 01:30:30,35.438
2021-01-01 01:31:00,35.748
2021-01-01 01:31:30,36.972
2021-01-01 01:32:00,31.736
2021-01-01 01:32:30,37.384
2021-01-01 01:33:00,37.637
2021-01-01 01:33:30,33.431
2021-01-01 01:34:00,31.902
2021-01-01 01:34:30,34.214
2021-01-01 01:35:00,36.665
2021-01-01 01:35:30,36.461
2021-01-01 01:36:00,40.267
2021-01-01 01:36:30,32.527
2021-01-01 01:37:00,36.968
2021-01-01 01:37:30,37.346
2021-01-01 01:38:00,39.156
2021-01-01 01:38:30,36.491
2021-01-01 01:39:00,38.535
2021-01-01 01:39:30,39.111
2021-01-01 01:40:00,39.045
2021-01-01 01:40:30,38.099
2021-01-01 01:41:00,36.616
2021-01-01 01:41:30,39.24
2021-01-01 01:42:00,35.314
2021-01-01 01:42:30,37.917
2021-01-01 01:43:00,38.802
2021-01-01 01:43:30,37.236
2021-01-01 01:44:00,38.198
2021-01-01 01:44:30,35.986
2021-01-01 01:45:00,34.281
2021-01-01 01:45:30,36.707
2021-01-01 01:46:00,35.814
