Timestamp,S6I
2021-01-01 09:10:00,37.369
2021-01-01 09:10:30,34.048
2021-01-01 09:11:00,
2021-01-01 09:11:30,34.829
2021-01-01 09:12:00,38.856
2021-01-01 09:12:30,43.725
2021-01-01 09:13:00,39.477
2021-01-01 09:13:30,
2021-01-01 09:14:00,37.641
2021-01-01 09:14:30,39.06
2021-01-01 09:15:00,42.891
2021-01-01 09:15:30,37.72
2021-01-01 09:16:00,27.76
2021-01-01 09:16:30,37.456
2021-01-01 09:17:00,39.24
2021-01-01 09:17:30,39.763
2021-01-01 09:18:00,40.107
2021-01-01 09:18:30,41.347
2021-01-01 09:19:00,34.357
2021-01-01 09:19:30,38.793
2021-01-01 09:20:00,39.075
2021-01-01 09:20:30,38.565
2021-01-01 09:21:00,39.997
2021-01-01 09:21:30,36.083
2021-01-01 09:22:00,39.664
2021-01-01 09:22:30,40.403
2021-01-01 09:23:00,39.805
2021-01-01 09:23:30,39.303
2021-01-01 09:24:00,38.955
2021-01-01 09:24:30,41.325
2021-01-01 09:25:00,38.48
2021-01-01 09:25:30,40.164
2021-01-01 09:26:00,41.135
2021-01-01 09:26:30,41.616
2021-01-01 09:27:00,36.495
2021-01-01 09:27:30,38.754
2021-01-01 09:28:00,40.853
2021-01-01 09:28:30,40.715
2021-01-01 09:29:00,36.594
2021-01-01 09:29:30,39.916
2021-01-01 09:30:00,41.299
2021-01-01 09:30:30,39.934
2021-01-01 09:31:00,37.293
2021-01-01 09:31:30,39.369
2021-01-01 09:32:00,42.11
2021-01-01 09:32:30,42.129
2021-01-01 09:33:00,37.841
2021-01-01 09:33:30,40.181
2021-01-01 09:34:00,41.731
2021-01-01 09:34:30,39.796
2021-01-01 09:35:00,39.276
2021-01-01 09:35:30,41.015
2021-01-01 09:36:00,41.147
2021-01-01 09:36:30,40.315
2021-01-01 09:37:00,37.977
2021-01-01 09:37:30,40.324
2021-01-01 09:38:00,41.633
2021-01-01 09:38:30,39.631
2021-01-01 09:39:00,38.006
2021-01-01 09:39:30,42.322
2021-01-01 09:40:00,42.199
2021-01-01 09:40:30,39.892
2021-01-01 09:41:00,41.235
2021-01-01 09:41:30,41.731
2021-01-01 09:42:00,40.717
2021-01-01 09:42:30,41.175
2021-01-01 09:43:00,41.723
2021-01-01 09:43:30,41.316
2021-01-01 09:44:00,40.35
2021-01-01 09:44:30,42.059
2021-01-01 09:45:00,43.132
2021-01-01 09:45:30,41.151
2021-01-01 09:46:00,41.073
2021-01-01 09:46:30,40.0
2021-01-01 09:47:00,42.008
2021-01-01 09:47:30,41.75
2021-01-01 09:48:00,41.974
2021-01-01 09:48:30,41.53
2021-01-01 09:49:00,41.147
2021-01-01 09:49:30,42.681
2021-01-01 09:50:00,41.666
2021-01-01 09:50:30,42.116
2021-01-01 09:51:00,42.013
2021-01-01 09:51:30,41.8
2021-01-01 09:52:00,43.318
2021-01-01 09:52:30,42.002
2021-01-01 09:53:00,41.485
2021-01-01 09:53:30,42.311
2021-01-01 09:54:00,43.225
2021-01-01 09:54:30,43.763
2021-01-01 09:55:00,42.914
2021-01-01 09:55:30,42.326
2021-01-01 09:56:00,42.106
2021-01-01 09:56:30,42.451
2021-01-01 09:57:00,44.167
2021-01-01 09:57:30,44.879
2021-01-01 09:58:00,43.009
2021-01-01 09:58:30,42.745
2021-01-01 09:59:00,42.451
2021-01-01 09:59:30,43.862
2021-01-01 10:00:00,44.767
2021-01-01 10:00:30,43.746
2021-01-01 10:01:00,42.792
2021-01-01 10:01:30,43.082
2021-01-01 10:02:00,44.134
2021-01-01 10:02:30,44.555
2021-01-01 10:03:00,44.044
2021-01-01 10:03:30,44.048
2021-01-01 10:04:00,43.215
2021-01-01 10:04:30,43.814
2021-01-01 10:05:00,45.231
2021-01-01 10:05:30,45.023
2021-01-01 10:06:00,44.337
2021-01-01 10:06:30,43.009
2021-01-01 10:07:00,42.842
2021-01-01 10:07:30,44.537
2021-01-01 10:08:00,45.088
2021-01-01 10:08:30,43.977
2021-01-01 10:09:00,43.357
2021-01-01 10:09:30,43.983
2021-01-01 10:10:00,44.82
2021-01-01 10:10:30,44.977
2021-01-01 10:11:00,44.26
2021-01-01 10:11:30,44.134
2021-01-01 10:12:00,44.19
2021-01-01 10:12:30,45.041
2021-01-01 10:13:00,44.349
2021-01-01 10:13:30,44.464
2021-01-01 10:14:00,44.34
2021-01-01 10:14:30,44.73
2021-01-01 10:15:00,44.271
2021-01-01 10:15:30,44.874
2021-01-01 10:16:00,45.728
2021-01-01 10:16:30,45.32
2021-01-01 10:17:00,44.724
2021-01-01 10:17:30,45.05
2021-01-01 10:18:00,45.365
2021-01-01 10:18:30,45.66
2021-01-01 10:19:00,45.536
2021-01-01 10:19:30,44.853
2021-01-01 10:20:00,45.243
2021-01-01 10:20:30,45.5
2021-01-01 10:21:00,45.896
2021-01-01 10:21:30,45.612
2021-01-01 10:22:00,45.825
2021-01-01 10:22:30,45.436
2021-01-01 10:23:00,45.464
2021-01-01 10:23:30,45.472
2021-01-01 10:24:00,46.375
2021-01-01 10:24:30,46.116
2021-01-01 10:25:00,46.273
2021-01-01 10:25:30,45.773
2021-01-01 10:26:00,46.032
2021-01-01 10:26:30,45.859
2021-01-01 10:27:00,45.97
2021-01-01 10:27:30,46.353
2021-01-01 10:28:00,46.338
2021-01-01 10:28:30,46.47
2021-01-01 10:29:00,45.929
2021-01-01 10:29:30,46.05
2021-01-01 10:30:00,46.188
2021-01-01 10:30:30,46.213
2021-01-01 10:31:00,46.384
2021-01-01 10:31:30,45.849
2021-01-01 10:32:00,46.418
2021-01-01 10:32:30,46.644
2021-01-01 10:33:00,46.532
2021-01-01 10:33:30,46.546
2021-01-01 10:34:00,46.436
2021-01-01 10:34:30,46.64
2021-01-01 10:35:00,46.295
2021-01-01 10:35:30,46.546
2021-01-01 10:36:00,46.729
2021-01-01 10:36:30,46.587
2021-01-01 10:37:00,46.424
2021-01-01 10:37:30,46.293
2021-01-01 10:38:00,46.202
2021-01-01 10:38:30,46.634
2021-01-01 10:39:00,46.559
2021-01-01 10:39:30,46.585
2021-01-01 10:40:00,46.851
2021-01-01 10:40:30,47.382
2021-01-01 10:41:00,47.415
2021-01-01 10:41:30,47.079
2021-01-01 10:42:00,47.038
2021-01-01 10:42:30,47.332
2021-01-01 10:43:00,47.506
2021-01-01 10:43:30,47.762
2021-01-01 10:44:00,47.405
2021-01-01 10:44:30,47.48
2021-01-01 10:45:00,47.698
2021-01-01 10:45:30,47.584
2021-01-01 10:46:00,47.426
2021-01-01 10:46:30,47.621
2021-01-01 10:47:00,47.846
2021-01-01 10:47:30,47.958
2021-01-01 10:48:00,47.803
2021-01-01 10:48:30,47.994
2021-01-01 10:49:00,48.196
2021-01-01 10:49:30,47.833
2021-01-01 10:50:00,47.717
2021-01-01 10:50:30,47.701
2021-01-01 10:51:00,48.044
2021-01-01 10:51:30,48.0
2021-01-01 10:52:00,47.91
2021-01-01 10:52:30,48.268
2021-01-01 10:53:00,48.398
2021-01-01 10:53:30,48.43
2021-01-01 10:54:00,48.309
2021-01-01 10:54:30,47.957
2021-01-01 10:55:00,47.861
2021-01-01 10:55:30,47.839
2021-01-01 10:56:00,48.206
2021-01-01 10:56:30,48.49
2021-01-01 10:57:00,48.258
2021-01-01 10:57:30,48.02
2021-01-01 10:58:00,48.029
2021-01-01 10:58:30,48.026
2021-01-01 10:59:00,48.14
2021-01-01 10:59:30,48.279
2021-01-01 11:00:00,48.345
2021-01-01 11:00:30,48.329
2021-01-01 11:01:00,48.274
2021-01-01 11:01:30,48.287
2021-01-01 11:02:00,48.262
2021-01-01 11:02:30,48.458
2021-01-01 11:03:00,48.528
2021-01-01 11:03:30,48.445
2021-01-01 11:04:00,48.444
2021-01-01 11:04:30,48.591
2021-01-01 11:05:00,48.549
2021-01-01 11:05:30,48.785
2021-01-01 11:06:00,49.122
2021-01-01 11:06:30,48.826
2021-01-01 11:07:00,48.905
2021-01-01 11:07:30,48.939
2021-01-01 11:08:00,48.778
2021-01-01 11:08:30,48.67
2021-01-01 11:09:00,48.761
2021-01-01 11:09:30,48.852
2021-01-01 11:10:00,48.663
2021-01-01 11:10:30,48.632
2021-01-01 11:11:00,49.059
2021-01-01 11:11:30,48.874
2021-01-01 11:12:00,48.798
2021-01-01 11:12:30,48.993
2021-01-01 11:13:00,49.033
2021-01-01 11:13:30,49.152
2021-01-01 11:14:00,49.236
2021-01-01 11:14:30,49.395
2021-01-01 11:15:00,49.173
2021-01-01 11:15:30,49.071
2021-01-01 11:16:00,49.359
2021-01-01 11:16:30,49.658
2021-01-01 11:17:00,49.611
2021-01-01 11:17:30,49.693
2021-01-01 11:18:00,49.544
2021-01-01 11:18:30,49.532
2021-01-01 11:19:00,49.772
2021-01-01 11:19:30,49.575
2021-01-01 11:20:00,49.517
2021-01-01 11:20:30,48.794
2021-01-01 11:21:00,49.404
2021-01-01 11:21:30,49.497
2021-01-01 11:22:00,49.377
2021-01-01 11:22:30,49.505
2021-01-01 11:23:00,49.698
2021-01-01 11:23:30,49.876
2021-01-01 11:24:00,49.787
2021-01-01 11:24:30,49.689
2021-01-01 11:25:00,50.012
2021-01-01 11:25:30,50.091
2021-01-01 11:26:00,49.91
2021-01-01 11:26:30,49.903
2021-01-01 11:27:00,49.812
2021-01-01 11:27:30,49.752
2021-01-01 11:28:00,49.917
2021-01-01 11:28:30,49.96
2021-01-01 11:29:00,49.916
2021-01-01 11:29:30,49.993
2021-01-01 11:30:00,49.989
2021-01-01 11:30:30,49.553
2021-01-01 11:31:00,50.022
2021-01-01 11:31:30,49.962
2021-01-01 11:32:00,49.82
2021-01-01 11:32:30,49.964
2021-01-01 11:33:00,50.165
2021-01-01 11:33:30,50.155
2021-01-01 11:34:00,50.255
2021-01-01 11:34:30,50.173
2021-01-01 11:35:00,50.278
2021-01-01 11:35:30,50.374
2021-01-01 11:36:00,50.247
2021-01-01 11:36:30,50.52
2021-01-01 11:37:00,50.475
2021-01-01 11:37:30,50.429
2021-01-01 11:38:00,50.1
2021-01-01 11:38:30,49.707
2021-01-01 11:39:00,49.663
2021-01-01 11:39:30,49.763
2021-01-01 11:40:00,49.858
2021-01-01 11:40:30,49.475
2021-01-01 11:41:00,49.699
2021-01-01 11:41:30,50.163
2021-01-01 11:42:00,49.96
2021-01-01 11:42:30,49.855
2021-01-01 11:43:00,50.0
2021-01-01 11:43:30,49.856
2021-01-01 11:44:00,49.943
2021-01-01 11:44:30,49.868
2021-01-01 11:45:00,49.583
2021-01-01 11:45:30,49.799
2021-01-01 11:46:00,49.532
2021-01-01 11:46:30,49.617
2021-01-01 11:47:00,49.607
2021-01-01 11:47:30,49.407
2021-01-01 11:48:00,49.541
2021-01-01 11:48:30,49.399
2021-01-01 11:49:00,49.64
2021-01-01 11:49:30,49.652
2021-01-01 11:50:00,49.642
2021-01-01 11:50:30,49.654
2021-01-01 11:51:00,49.895
2021-01-01 11:51:30,49.744
2021-01-01 11:52:00,49.71
2021-01-01 11:52:30,50.038
2021-01-01 11:53:00,49.926
2021-01-01 11:53:30,50.009
2021-01-01 11:54:00,49.522
2021-01-01 11:54:30,49.444
2021-01-01 11:55:00,49.69
2021-01-01 11:55:30,49.661
2021-01-01 11:56:00,49.965
2021-01-01 11:56:30,50.096
2021-01-01 11:57:00,50.081
2021-01-01 11:57:30,50.008
2021-01-01 11:58:00,49.966
2021-01-01 11:58:30,49.607
2021-01-01 11:59:00,49.416
2021-01-01 11:59:30,49.668
2021-01-01 12:00:00,49.736
2021-01-01 12:00:30,49.785
2021-01-01 12:01:00,50.055
2021-01-01 12:01:30,50.267
2021-01-01 12:02:00,50.189
2021-01-01 12:02:30,49.893
2021-01-01 12:03:00,49.679
2021-01-01 12:03:30,49.803
2021-01-01 12:04:00,49.807
2021-01-01 12:04:30,49.454
2021-01-01 12:05:00,49.609
2021-01-01 12:05:30,49.746
2021-01-01 12:06:00,49.62
2021-01-01 12:06:30,49.375
2021-01-01 12:07:00,49.273
2021-01-01 12:07:30,49.292
2021-01-01 12:08:00,49.64
2021-01-01 12:08:30,49.464
2021-01-01 12:09:00,49.656
2021-01-01 12:09:30,49.965
2021-01-01 12:10:00,50.21
2021-01-01 12:10:30,50.534
2021-01-01 12:11:00,50.197
2021-01-01 12:11:30,49.911
2021-01-01 12:12:00,49.599
2021-01-01 12:12:30,49.384
2021-01-01 12:13:00,49.505
2021-01-01 12:13:30,49.665
2021-01-01 12:14:00,50.221
2021-01-01 12:14:30,50.647
2021-01-01 12:15:00,50.61
2021-01-01 12:15:30,50.744
2021-01-01 12:16:00,50.247
2021-01-01 12:16:30,49.764
2021-01-01 12:17:00,49.641
2021-01-01 12:17:30,49.545
2021-01-01 12:18:00,49.64
2021-01-01 12:18:30,49.481
2021-01-01 12:19:00,49.839
2021-01-01 12:19:30,49.654
2021-01-01 12:20:00,49.79
2021-01-01 12:20:30,49.712
2021-01-01 12:21:00,49.746
2021-01-01 12:21:30,49.5
2021-01-01 12:22:00,49.326
2021-01-01 12:22:30,49.487
2021-01-01 12:23:00,49.832
2021-01-01 12:23:30,49.565
2021-01-01 12:24:00,49.328
2021-01-01 12:24:30,49.05
2021-01-01 12:25:00,49.325
2021-01-01 12:25:30,49.666
2021-01-01 12:26:00,49.872
2021-01-01 12:26:30,50.098
2021-01-01 12:27:00,50.078
2021-01-01 12:27:30,50.431
2021-01-01 12:28:00,50.668
2021-01-01 12:28:30,50.082
2021-01-01 12:29:00,50.198
2021-01-01 12:29:30,50.446
2021-01-01 12:30:00,50.316
2021-01-01 12:30:30,49.981
2021-01-01 12:31:00,50.138
2021-01-01 12:31:30,50.099
2021-01-01 12:32:00,50.054
2021-01-01 12:32:30,49.887
2021-01-01 12:33:00,49.765
2021-01-01 12:33:30,49.715
2021-01-01 12:34:00,49.503
2021-01-01 12:34:30,49.345
2021-01-01 12:35:00,49.461
2021-01-01 12:35:30,49.456
2021-01-01 12:36:00,49.438
2021-01-01 12:36:30,49.446
2021-01-01 12:37:00,49.326
2021-01-01 12:37:30,49.197
2021-01-01 12:38:00,49.514
2021-01-01 12:38:30,49.464
2021-01-01 12:39:00,49.339
2021-01-01 12:39:30,49.271
2021-01-01 12:40:00,49.608
2021-01-01 12:40:30,49.877
2021-01-01 12:41:00,49.974
2021-01-01 12:41:30,49.882
2021-01-01 12:42:00,49.898
2021-01-01 12:42:30,49.513
2021-01-01 12:43:00,49.267
2021-01-01 12:43:30,48.868
2021-01-01 12:44:00,48.752
2021-01-01 12:44:30,48.669
2021-01-01 12:45:00,48.957
2021-01-01 12:45:30,49.296
2021-01-01 12:46:00,49.407
2021-01-01 12:46:30,49.46
2021-01-01 12:47:00,49.026
2021-01-01 12:47:30,49.085
2021-01-01 12:48:00,49.198
2021-01-01 12:48:30,49.156
2021-01-01 12:49:00,48.986
2021-01-01 12:49:30,48.95
