Timestamp,S2I
2021-01-01 00:00:00,39.586
2021-01-01 00:00:30,39.886
2021-01-01 00:01:00,42.36
2021-01-01 00:01:30,40.072
2021-01-01 00:02:00,36.726
2021-01-01 00:02:30,38.649
2021-01-01 00:03:00,41.12
2021-01-01 00:03:30,41.979
2021-01-01 00:04:00,38.667
2021-01-01 00:04:30,39.039
2021-01-01 00:05:00,42.002
2021-01-01 00:05:30,41.182
2021-01-01 00:06:00,37.871
2021-01-01 00:06:30,36.847
2021-01-01 00:07:00,39.544
2021-01-01 00:07:30,40.713
2021-01-01 00:08:00,38.312
2021-01-01 00:08:30,37.792
2021-01-01 00:09:00,39.276
2021-01-01 00:09:30,42.063
2021-01-01 00:10:00,40.2
2021-01-01 00:10:30,36.276
2021-01-01 00:11:00,39.075
2021-01-01 00:11:30,40.472
2021-01-01 00:12:00,39.931
2021-01-01 00:12:30,37.308
2021-01-01 00:13:00,35.109
2021-01-01 00:13:30,40.238
2021-01-01 00:14:00,39.922
2021-01-01 00:14:30,39.396
2021-01-01 00:15:00,36.87
2021-01-01 00:15:30,34.395
2021-01-01 00:16:00,38.249
2021-01-01 00:16:30,41.921
2021-01-01 00:17:00,40.72
2021-01-01 00:17:30,35.805
2021-01-01 00:18:00,39.508
2021-01-01 00:18:30,45.311
2021-01-01 00:19:00,43.338
2021-01-01 00:19:30,37.233
2021-01-01 00:20:00,30.347
2021-01-01 00:20:30,38.517
2021-01-01 00:21:00,42.133
2021-01-01 00:21:30,40.119
2021-01-01 00:22:00,40.756
2021-01-01 00:22:30,32.192
2021-01-01 00:23:00,40.999
2021-01-01 00:23:30,37.72
2021-01-01 00:24:00,40.393
2021-01-01 00:24:30,41.788
2021-01-01 00:25:00,34.529
2021-01-01 00:25:30,31.268
2021-01-01 00:26:00,39.562
2021-01-01 00:26:30,39.901
2021-01-01 00:27:00,32.521
2021-01-01 00:27:30,35.014
2021-01-01 00:28:00,42.762
2021-01-01 00:28:30,36.533
2021-01-01 00:29:00,41.232
2021-01-01 00:29:30,35.09
2021-01-01 00:30:00,24.211
2021-01-01 00:30:30,30.468
2021-01-01 00:31:00,31.955
2021-01-01 00:31:30,40.265
2021-01-01 00:32:00,35.6
2021-01-01 00:32:30,40.648
2021-01-01 00:33:00,33.623
2021-01-01 00:33:30,34.733
2021-01-01 00:34:00,29.668
2021-01-01 00:34:30,23.848
2021-01-01 19:27:00,38.462
2021-01-01 19:27:30,28.218
2021-01-01 19:28:00,28.171
2021-01-01 19:28:30,29.972
2021-01-01 19:29:00,34.995
2021-01-01 19:29:30,31.185
2021-01-01 19:30:00,30.649
2021-01-01 19:30:30,30.264
2021-01-01 19:31:00,34.443
2021-01-01 19:31:30,34.824
2021-01-01 19:32:00,36.159
2021-01-01 19:32:30,35.371
2021-01-01 19:33:00,35.395
2021-01-01 19:33:30,35.424
2021-01-01 19:34:00,38.429
2021-01-01 19:34:30,37.425
2021-01-01 19:35:00,40.138
2021-01-01 19:35:30,39.793
2021-01-01 19:36:00,40.083
2021-01-01 19:36:30,41.206
2021-01-01 19:37:00,42.927
2021-01-01 19:37:30,40.863
2021-01-01 19:38:00,41.535
2021-01-01 19:38:30,41.309
2021-01-01 19:39:00,41.38
2021-01-01 19:39:30,39.802
2021-01-01 19:40:00,41.025
2021-01-01 19:40:30,40.88
2021-01-01 19:41:00,42.049
2021-01-01 19:41:30,41.692
2021-01-01 19:42:00,41.139
2021-01-01 19:42:30,41.044
2021-01-01 19:43:00,40.405
2021-01-01 19:43:30,40.925
2021-01-01 19:44:00,41.461
2021-01-01 19:44:30,40.679
2021-01-01 19:45:00,41.004
2021-01-01 19:45:30,42.216
