Timestamp,S6I
2021-01-01 01:49:00,35.524
2021-01-01 01:49:30,38.757
2021-01-01 01:50:00,38.279
2021-01-01 01:50:30,35.124
2021-01-01 01:51:00,32.437
2021-01-01 01:51:30,40.605
2021-01-01 01:52:00,37.618
2021-01-01 01:52:30,33.551
2021-01-01 01:53:00,37.554
2021-01-01 01:53:30,
2021-01-01 01:54:00,39.88
2021-01-01 01:54:30,41.275
2021-01-01 01:55:00,44.761
2021-01-01 01:55:30,34.452
2021-01-01 01:56:00,35.962
2021-01-01 01:56:30,38.402
2021-01-01 01:57:00,39.498
2021-01-01 01:57:30,39.207
2021-01-01 01:58:00,38.58
2021-01-01 01:58:30,37.195
2021-01-01 01:59:00,38.063
2021-01-01 01:59:30,39.45
2021-01-01 02:00:00,38.85
2021-01-01 02:00:30,39.769
2021-01-01 02:01:00,40.012
2021-01-01 02:01:30,37.849
2021-01-01 02:02:00,40.055
2021-01-01 02:02:30,39.165
2021-01-01 02:03:00,39.616
2021-01-01 02:03:30,40.577
2021-01-01 02:04:00,41.082
2021-01-01 02:04:30,41.995
2021-01-01 02:05:00,37.66
2021-01-01 02:05:30,39.444
2021-01-01 02:06:00,42.806
2021-01-01 02:06:30,41.962
2021-01-01 02:07:00,35.148
2021-01-01 02:07:30,38.03
2021-01-01 02:08:00,43.38
2021-01-01 02:08:30,42.65
2021-01-01 02:09:00,38.0
2021-01-01 02:09:30,38.658
2021-01-01 02:10:00,40.605
2021-01-01 02:10:30,41.926
2021-01-01 02:11:00,40.613
2021-01-01 02:11:30,36.208
2021-01-01 02:12:00,41.302
2021-01-01 02:12:30,43.448
2021-01-01 02:13:00,38.426
2021-01-01 02:13:30,37.036
2021-01-01 02:14:00,41.743
2021-01-01 02:14:30,43.111
2021-01-01 02:15:00,41.521
2021-01-01 02:15:30,39.21
2021-01-01 02:16:00,40.293
2021-01-01 02:16:30,42.381
2021-01-01 02:17:00,39.91
2021-01-01 02:17:30,39.27
2021-01-01 02:18:00,43.16
2021-01-01 02:18:30,43.661
2021-01-01 02:19:00,38.931
2021-01-01 02:19:30,37.637
2021-01-01 02:20:00,42.671
2021-01-01 02:20:30,43.384
2021-01-01 02:21:00,39.441
2021-01-01 02:21:30,41.299
2021-01-01 02:22:00,40.675
2021-01-01 02:22:30,40.231
2021-01-01 02:23:00,42.281
2021-01-01 02:23:30,41.542
2021-01-01 02:24:00,42.224
2021-01-01 02:24:30,42.447
2021-01-01 02:25:00,41.883
2021-01-01 02:25:30,41.669
2021-01-01 02:26:00,43.27
2021-01-01 02:26:30,44.193
2021-01-01 02:27:00,40.953
2021-01-01 02:27:30,42.028
2021-01-01 02:28:00,42.883
2021-01-01 02:28:30,40.992
2021-01-01 02:29:00,41.878
2021-01-01 02:29:30,43.934
2021-01-01 02:30:00,42.961
2021-01-01 02:30:30,43.098
2021-01-01 02:31:00,43.285
2021-01-01 02:31:30,40.543
2021-01-01 02:32:00,42.921
2021-01-01 02:32:30,44.31
2021-01-01 02:33:00,43.253
2021-01-01 02:33:30,43.621
2021-01-01 02:34:00,43.225
2021-01-01 02:34:30,41.704
2021-01-01 02:35:00,42.785
2021-01-01 02:35:30,44.426
2021-01-01 02:36:00,44.71
2021-01-01 02:36:30,43.93
2021-01-01 02:37:00,42.874
2021-01-01 02:37:30,42.806
2021-01-01 02:38:00,43.913
2021-01-01 02:38:30,44.304
2021-01-01 02:39:00,45.615
2021-01-01 02:39:30,44.468
2021-01-01 02:40:00,43.382
2021-01-01 02:40:30,43.092
2021-01-01 02:41:00,44.471
2021-01-01 02:41:30,46.111
2021-01-01 02:42:00,45.226
2021-01-01 02:42:30,43.621
2021-01-01 02:43:00,44.346
2021-01-01 02:43:30,44.444
2021-01-01 02:44:00,46.075
2021-01-01 02:44:30,46.228
2021-01-01 02:45:00,45.263
2021-01-01 02:45:30,44.628
2021-01-01 02:46:00,44.685
2021-01-01 02:46:30,44.953
2021-01-01 02:47:00,45.512
2021-01-01 02:47:30,45.193
2021-01-01 02:48:00,44.635
2021-01-01 02:48:30,44.311
2021-01-01 02:49:00,44.254
2021-01-01 02:49:30,44.7
2021-01-01 02:50:00,45.09
2021-01-01 02:50:30,45.26
2021-01-01 02:51:00,44.895
2021-01-01 02:51:30,44.787
2021-01-01 02:52:00,44.876
2021-01-01 02:52:30,45.427
2021-01-01 02:53:00,45.726
2021-01-01 02:53:30,45.907
2021-01-01 02:54:00,45.496
2021-01-01 02:54:30,44.879
2021-01-01 02:55:00,44.861
2021-01-01 02:55:30,45.785
2021-01-01 02:56:00,45.94
2021-01-01 02:56:30,46.487
2021-01-01 02:57:00,46.004
2021-01-01 02:57:30,45.935
2021-01-01 02:58:00,45.234
2021-01-01 02:58:30,45.731
2021-01-01 02:59:00,45.889
2021-01-01 02:59:30,45.306
2021-01-01 03:00:00,45.257
2021-01-01 03:00:30,44.79
2021-01-01 03:01:00,45.646
2021-01-01 03:01:30,46.203
2021-01-01 03:02:00,46.849
2021-01-01 03:02:30,46.556
2021-01-01 03:03:00,46.421
2021-01-01 03:03:30,46.518
2021-01-01 03:04:00,46.667
2021-01-01 03:04:30,46.392
2021-01-01 03:05:00,46.078
2021-01-01 03:05:30,46.398
2021-01-01 03:06:00,46.653
2021-01-01 03:06:30,46.414
2021-01-01 03:07:00,46.569
2021-01-01 03:07:30,46.354
2021-01-01 03:08:00,46.616
2021-01-01 03:08:30,46.57
2021-01-01 03:09:00,46.638
2021-01-01 03:09:30,46.64
2021-01-01 03:10:00,46.744
2021-01-01 03:10:30,46.74
2021-01-01 03:11:00,46.91
2021-01-01 03:11:30,47.103
2021-01-01 03:12:00,47.392
2021-01-01 03:12:30,47.338
2021-01-01 03:13:00,47.154
2021-01-01 03:13:30,46.776
2021-01-01 03:14:00,46.825
2021-01-01 03:14:30,47.249
2021-01-01 03:15:00,47.438
2021-01-01 03:15:30,47.523
2021-01-01 03:16:00,47.564
2021-01-01 03:16:30,47.694
2021-01-01 03:17:00,47.417
2021-01-01 03:17:30,47.772
2021-01-01 03:18:00,47.626
