Timestamp,S6I
2021-01-01 06:39:00,37.49
2021-01-01 06:39:30,36.794
2021-01-01 06:40:00,35.5
2021-01-01 06:40:30,32.084
2021-01-01 06:41:00,35.633
2021-01-01 06:41:30,28.142
2021-01-01 06:42:00,32.204
2021-01-01 06:42:30,
2021-01-01 06:43:00,41.159
2021-01-01 06:43:30,42.07
2021-01-01 06:44:00,43.827
2021-01-01 06:44:30,42.775
2021-01-01 06:45:00,36.646
2021-01-01 06:45:30,26.228
2021-01-01 06:46:00,33.443
2021-01-01 06:46:30,38.264
2021-01-01 06:47:00,40.181
2021-01-01 06:47:30,39.661
2021-01-01 06:48:00,36.96
2021-01-01 06:48:30,37.72
2021-01-01 06:49:00,37.819
2021-01-01 06:49:30,36.068
2021-01-01 06:50:00,37.047
2021-01-01 06:50:30,40.019
2021-01-01 06:51:00,39.823
2021-01-01 06:51:30,37.482
2021-01-01 06:52:00,36.495
2021-01-01 06:52:30,38.904
2021-01-01 06:53:00,38.76
2021-01-01 06:53:30,38.727
2021-01-01 06:54:00,39.501
2021-01-01 06:54:30,37.645
2021-01-01 06:55:00,36.446
2021-01-01 06:55:30,40.834
2021-01-01 06:56:00,41.035
2021-01-01 06:56:30,39.255
2021-01-01 06:57:00,37.297
2021-01-01 06:57:30,36.499
2021-01-01 06:58:00,40.236
2021-01-01 06:58:30,41.509
2021-01-01 06:59:00,40.384
2021-01-01 06:59:30,39.679
2021-01-01 07:00:00,38.0
2021-01-01 07:00:30,39.321
2021-01-01 07:01:00,41.63
2021-01-01 07:01:30,41.762
2021-01-01 07:02:00,37.161
2021-01-01 07:02:30,39.348
2021-01-01 07:03:00,41.204
2021-01-01 07:03:30,42.072
2021-01-01 07:04:00,40.005
2021-01-01 07:04:30,38.36
2021-01-01 07:05:00,38.105
2021-01-01 07:05:30,40.179
2021-01-01 07:06:00,41.294
2021-01-01 07:06:30,40.224
2021-01-01 07:07:00,36.635
2021-01-01 07:07:30,37.966
2021-01-01 07:08:00,41.619
2021-01-01 07:08:30,41.7
2021-01-01 07:09:00,39.408
2021-01-01 07:09:30,36.314
2021-01-01 07:10:00,38.498
2021-01-01 07:10:30,39.7
2021-01-01 07:11:00,40.965
2021-01-01 07:11:30,41.666
2021-01-01 07:12:00,40.298
2021-01-01 07:12:30,39.889
2021-01-01 07:13:00,40.608
2021-01-01 07:13:30,41.967
2021-01-01 07:14:00,40.455
2021-01-01 07:14:30,37.558
2021-01-01 07:15:00,41.445
2021-01-01 07:15:30,43.615
2021-01-01 07:16:00,42.529
2021-01-01 07:16:30,36.295
2021-01-01 07:17:00,39.015
2021-01-01 07:17:30,42.961
2021-01-01 07:18:00,42.772
2021-01-01 07:18:30,39.997
2021-01-01 07:19:00,40.82
2021-01-01 07:19:30,41.249
2021-01-01 07:20:00,40.317
2021-01-01 07:20:30,41.602
2021-01-01 07:21:00,41.993
2021-01-01 07:21:30,41.979
2021-01-01 07:22:00,41.759
2021-01-01 07:22:30,40.522
2021-01-01 07:23:00,40.26
2021-01-01 07:23:30,42.447
2021-01-01 07:24:00,42.607
2021-01-01 07:24:30,42.059
2021-01-01 07:25:00,40.25
2021-01-01 07:25:30,40.389
2021-01-01 07:26:00,42.144
2021-01-01 07:26:30,42.038
2021-01-01 07:27:00,41.874
2021-01-01 07:27:30,42.059
2021-01-01 07:28:00,41.518
2021-01-01 07:28:30,41.487
2021-01-01 07:29:00,42.641
2021-01-01 07:29:30,42.591
2021-01-01 07:30:00,41.604
2021-01-01 07:30:30,41.609
2021-01-01 07:31:00,41.926
2021-01-01 07:31:30,42.777
2021-01-01 07:32:00,43.528
2021-01-01 07:32:30,42.121
2021-01-01 07:33:00,41.275
2021-01-01 07:33:30,42.275
2021-01-01 07:34:00,43.42
2021-01-01 07:34:30,43.433
2021-01-01 07:35:00,43.117
2021-01-01 07:35:30,41.928
2021-01-01 07:36:00,42.692
2021-01-01 07:36:30,43.672
2021-01-01 07:37:00,43.482
2021-01-01 07:37:30,43.837
2021-01-01 07:38:00,43.331
2021-01-01 07:38:30,43.227
2021-01-01 07:39:00,42.942
2021-01-01 07:39:30,44.084
2021-01-01 07:40:00,43.357
2021-01-01 07:40:30,43.729
2021-01-01 07:41:00,44.435
2021-01-01 07:41:30,43.253
2021-01-01 07:42:00,43.204
2021-01-01 07:42:30,43.435
2021-01-01 07:43:00,44.685
2021-01-01 07:43:30,45.177
2021-01-01 07:44:00,43.846
2021-01-01 07:44:30,42.817
2021-01-01 07:45:00,43.465
2021-01-01 07:45:30,44.178
2021-01-01 07:46:00,44.999
2021-01-01 07:46:30,44.602
2021-01-01 07:47:00,44.17
2021-01-01 07:47:30,43.416
2021-01-01 07:48:00,44.08
2021-01-01 07:48:30,44.841
2021-01-01 07:49:00,44.773
2021-01-01 07:49:30,44.056
2021-01-01 07:50:00,43.446
2021-01-01 07:50:30,44.628
2021-01-01 07:51:00,44.999
2021-01-01 07:51:30,44.834
2021-01-01 07:52:00,44.415
2021-01-01 07:52:30,43.932
2021-01-01 07:53:00,44.509
2021-01-01 07:53:30,44.843
2021-01-01 07:54:00,45.543
2021-01-01 07:54:30,45.044
2021-01-01 07:55:00,44.504
2021-01-01 07:55:30,44.817
2021-01-01 07:56:00,45.46
2021-01-01 07:56:30,45.986
2021-01-01 07:57:00,46.025
2021-01-01 07:57:30,44.971
2021-01-01 07:58:00,44.91
2021-01-01 07:58:30,45.919
2021-01-01 07:59:00,46.232
2021-01-01 07:59:30,45.401
2021-01-01 08:00:00,45.115
2021-01-01 08:00:30,45.943
2021-01-01 08:01:00,46.088
2021-01-01 08:01:30,46.184
2021-01-01 08:02:00,45.753
2021-01-01 08:02:30,46.12
2021-01-01 08:03:00,46.013
2021-01-01 08:03:30,46.329
2021-01-01 08:04:00,45.862
2021-01-01 08:04:30,46.148
2021-01-01 08:05:00,46.047
2021-01-01 08:05:30,46.078
2021-01-01 08:06:00,46.025
2021-01-01 08:06:30,45.833
2021-01-01 08:07:00,46.282
2021-01-01 08:07:30,46.252
2021-01-01 08:08:00,45.973
2021-01-01 08:08:30,46.011
2021-01-01 08:09:00,46.667
2021-01-01 08:09:30,46.822
2021-01-01 08:10:00,46.773
2021-01-01 08:10:30,46.393
2021-01-01 08:11:00,46.583
2021-01-01 08:11:30,46.818
2021-01-01 08:12:00,46.932
2021-01-01 08:12:30,46.822
2021-01-01 08:13:00,46.996
2021-01-01 08:13:30,47.076
2021-01-01 08:14:00,47.066
2021-01-01 08:14:30,47.168
2021-01-01 08:15:00,47.175
2021-01-01 08:15:30,47.554
2021-01-01 08:16:00,47.451
2021-01-01 08:16:30,47.706
2021-01-01 08:17:00,47.303
2021-01-01 08:17:30,47.443
2021-01-01 08:18:00,47.223
2021-01-01 08:18:30,47.558
2021-01-01 08:19:00,47.949
2021-01-01 08:19:30,47.788
2021-01-01 08:20:00,47.626
2021-01-01 08:20:30,47.945
2021-01-01 08:21:00,47.969
2021-01-01 08:21:30,47.828
2021-01-01 08:22:00,47.558
2021-01-01 08:22:30,47.721
2021-01-01 08:23:00,47.939
2021-01-01 08:23:30,47.802
2021-01-01 08:24:00,48.231
2021-01-01 08:24:30,48.293
2021-01-01 08:25:00,48.088
2021-01-01 08:25:30,47.852
2021-01-01 08:26:00,48.248
2021-01-01 08:26:30,47.967
2021-01-01 08:27:00,48.096
2021-01-01 08:27:30,48.027
2021-01-01 08:28:00,48.364
2021-01-01 08:28:30,48.343
2021-01-01 08:29:00,48.344
2021-01-01 08:29:30,48.349
2021-01-01 08:30:00,48.346
2021-01-01 08:30:30,48.307
2021-01-01 08:31:00,48.777
2021-01-01 08:31:30,48.684
2021-01-01 08:32:00,48.661
2021-01-01 08:32:30,48.637
2021-01-01 08:33:00,48.59
2021-01-01 08:33:30,48.894
2021-01-01 08:34:00,48.896
2021-01-01 08:34:30,48.929
2021-01-01 08:35:00,49.157
2021-01-01 08:35:30,48.897
2021-01-01 08:36:00,48.941
2021-01-01 08:36:30,49.407
2021-01-01 08:37:00,49.376
2021-01-01 08:37:30,49.259
2021-01-01 08:38:00,49.639
2021-01-01 08:38:30,49.532
2021-01-01 08:39:00,49.29
2021-01-01 08:39:30,49.575
2021-01-01 08:40:00,49.88
2021-01-01 08:40:30,49.678
2021-01-01 08:41:00,49.777
2021-01-01 08:41:30,49.629
2021-01-01 08:42:00,49.538
2021-01-01 08:42:30,49.448
2021-01-01 08:43:00,49.61
2021-01-01 08:43:30,49.701
2021-01-01 08:44:00,49.689
2021-01-01 08:44:30,49.75
2021-01-01 08:45:00,49.866
2021-01-01 08:45:30,50.063
2021-01-01 08:46:00,49.917
2021-01-01 08:46:30,50.001
2021-01-01 08:47:00,49.968
2021-01-01 08:47:30,50.177
2021-01-01 08:48:00,50.212
2021-01-01 08:48:30,50.308
2021-01-01 08:49:00,50.065
2021-01-01 08:49:30,50.071
2021-01-01 08:50:00,49.971
2021-01-01 08:50:30,50.048
2021-01-01 08:51:00,50.351
2021-01-01 08:51:30,50.461
2021-01-01 08:52:00,50.365
2021-01-01 08:52:30,50.296
2021-01-01 08:53:00,50.494
2021-01-01 08:53:30,50.589
2021-01-01 08:54:00,50.58
2021-01-01 08:54:30,50.76
2021-01-01 08:55:00,51.016
2021-01-01 08:55:30,50.781
2021-01-01 08:56:00,50.613
2021-01-01 08:56:30,50.779
2021-01-01 08:57:00,50.86
2021-01-01 08:57:30,50.904
2021-01-01 08:58:00,50.732
2021-01-01 08:58:30,50.542
2021-01-01 08:59:00,50.836
2021-01-01 08:59:30,50.852
2021-01-01 09:00:00,50.962
2021-01-01 09:00:30,51.163
2021-01-01 09:01:00,50.997
2021-01-01 09:01:30,50.742
2021-01-01 09:02:00,50.76
2021-01-01 09:02:30,51.044
2021-01-01 09:03:00,51.163
2021-01-01 09:03:30,51.159
2021-01-01 09:04:00,51.24
2021-01-01 09:04:30,50.988
2021-01-01 09:05:00,51.254
2021-01-01 09:05:30,51.682
2021-01-01 09:06:00,51.573
2021-01-01 09:06:30,51.525
2021-01-01 09:07:00,51.522
2021-01-01 09:07:30,51.286
2021-01-01 09:08:00,51.351
2021-01-01 09:08:30,51.699
2021-01-01 09:09:00,51.654
2021-01-01 09:09:30,51.757
2021-01-01 09:10:00,51.793
