Timestamp,CN value,status
2024-06-01 09:22:00,35.5,
2024-06-01 09:23:00,34.469,
2024-06-01 09:23:00,33.688,
2024-06-01 09:24:00,34.656,
2024-06-01 09:24:00,34.719,
2024-06-01 09:25:00,35.125,
2024-06-01 09:25:00,35.25,
2024-06-01 09:26:00,34.719,
2024-06-01 09:26:00,34.281,
2024-06-01 09:27:00,34.25,
2024-06-01 09:27:00,34.781,
2024-06-01 09:28:00,35.438,
2024-06-01 09:28:00,35.0,
2024-06-01 09:29:00,35.0,
2024-06-01 09:29:00,34.875,
2024-06-01 09:30:00,34.281,
2024-06-01 09:30:00,34.844,
2024-06-01 09:31:00,36.531,
2024-06-01 09:31:00,36.688,
2024-06-01 09:32:00,35.875,
2024-06-01 09:32:00,35.656,
2024-06-01 09:33:00,35.25,
2024-06-01 09:33:00,35.531,
2024-06-01 09:34:00,35.75,
2024-06-01 09:34:00,36.469,
2024-06-01 09:35:00,36.406,
2024-06-01 09:35:00,35.75,
2024-06-01 09:36:00,36.094,
2024-06-01 09:36:00,36.25,
2024-06-01 09:37:00,36.25,
2024-06-01 09:37:00,36.688,
2024-06-01 09:38:00,37.031,
2024-06-01 09:38:00,37.031,
2024-06-01 09:39:00,37.438,
2024-06-01 09:39:00,38.0,
2024-06-01 09:40:00,37.469,
2024-06-01 09:40:00,38.281,
2024-06-01 09:41:00,38.531,
2024-06-01 09:41:00,38.719,
2024-06-01 09:42:00,38.656,
2024-06-01 09:42:00,38.938,
2024-06-01 09:43:00,39.188,
2024-06-01 09:43:00,39.312,
2024-06-01 09:44:00,39.25,
2024-06-01 09:44:00,39.344,
2024-06-01 09:45:00,38.969,
2024-06-01 09:45:00,39.938,
2024-06-01 09:46:00,39.719,
2024-06-01 09:46:00,39.688,
2024-06-01 09:47:00,39.938,
2024-06-01 09:47:00,39.938,
2024-06-01 09:48:00,38.312,
2024-06-01 09:48:00,32.031,
2024-06-01 09:49:00,32.188,
2024-06-01 09:49:00,32.25,
2024-06-01 09:50:00,31.781,
2024-06-01 09:50:00,32.188,
2024-06-01 09:51:00,32.469,
2024-06-01 09:51:00,32.406,
2024-06-01 09:52:00,32.562,
2024-06-01 09:52:00,32.75,
2024-06-01 09:53:00,33.062,
2024-06-01 09:53:00,33.406,
2024-06-01 09:54:00,34.156,
2024-06-01 09:54:00,34.375,
2024-06-01 09:55:00,34.438,
2024-06-01 09:55:00,35.188,
2024-06-01 09:56:00,35.031,
2024-06-01 09:56:00,34.875,
2024-06-01 09:57:00,34.625,
2024-06-01 09:57:00,34.938,
2024-06-01 09:58:00,34.719,
2024-06-01 09:58:00,35.031,
2024-06-01 09:59:00,34.875,
2024-06-01 09:59:00,35.312,
2024-06-01 10:00:00,35.531,
2024-06-01 10:00:00,35.812,
2024-06-01 10:01:00,35.938,
2024-06-01 10:01:00,35.875,
2024-06-01 10:02:00,36.375,
2024-06-01 10:02:00,36.062,
2024-06-01 10:03:00,36.281,
2024-06-01 10:03:00,36.656,
2024-06-01 10:04:00,36.5,
2024-06-01 10:04:00,36.875,
2024-06-01 10:05:00,36.844,
2024-06-01 10:05:00,37.094,
2024-06-01 10:06:00,37.219,
2024-06-01 10:06:00,36.75,
2024-06-01 10:07:00,37.562,
2024-06-01 10:07:00,37.781,
2024-06-01 10:08:00,37.938,
2024-06-01 10:08:00,37.938,
2024-06-01 10:09:00,38.125,
2024-06-01 10:09:00,37.875,
2024-06-01 10:10:00,38.312,
2024-06-01 10:10:00,38.188,
2024-06-01 10:11:00,38.469,
2024-06-01 10:11:00,38.281,
2024-06-01 10:12:00,38.469,
2024-06-01 10:12:00,38.406,
2024-06-01 10:13:00,38.75,
2024-06-01 10:13:00,38.719,
2024-06-01 10:14:00,38.531,
2024-06-01 10:14:00,38.688,
2024-06-01 10:15:00,38.656,
2024-06-01 10:15:00,38.781,
2024-06-01 10:16:00,39.062,
2024-06-01 10:16:00,39.25,
2024-06-01 10:17:00,39.281,
2024-06-01 10:17:00,39.281,
2024-06-01 10:18:00,39.688,
2024-06-01 10:18:00,40.125,
2024-06-01 10:19:00,40.125,
2024-06-01 10:19:00,40.062,
2024-06-01 10:20:00,40.25,
2024-06-01 10:20:00,40.219,
2024-06-01 10:21:00,40.219,
2024-06-01 10:21:00,40.656,
2024-06-01 10:22:00,40.812,
2024-06-01 10:22:00,40.688,
2024-06-01 10:23:00,40.562,
2024-06-01 10:23:00,40.531,
2024-06-01 10:24:00,40.406,
2024-06-01 10:24:00,40.844,
2024-06-01 10:25:00,40.531,
2024-06-01 10:25:00,40.5,
2024-06-01 10:26:00,40.562,
2024-06-01 10:26:00,40.25,
2024-06-01 10:27:00,39.656,
2024-06-01 10:27:00,39.812,
2024-06-01 10:28:00,39.531,
2024-06-01 10:28:00,39.344,
2024-06-01 10:29:00,39.344,
2024-06-01 10:29:00,39.406,
2024-06-01 10:30:00,39.625,
2024-06-01 10:30:00,39.094,
2024-06-01 10:31:00,39.0,
2024-06-01 10:31:00,38.969,
2024-06-01 10:32:00,38.719,
2024-06-01 10:32:00,38.656,
2024-06-01 10:33:00,38.438,
2024-06-01 10:33:00,38.375,
2024-06-01 10:34:00,38.281,
2024-06-01 10:34:00,38.125,
2024-06-01 10:35:00,38.594,
2024-06-01 10:35:00,38.062,
2024-06-01 10:36:00,38.5,
2024-06-01 10:36:00,38.906,
2024-06-01 10:37:00,38.906,
2024-06-01 10:37:00,39.188,
2024-06-01 10:38:00,39.125,
2024-06-01 10:38:00,39.156,
2024-06-01 10:39:00,39.094,
2024-06-01 10:39:00,39.031,
2024-06-01 10:40:00,38.719,
2024-06-01 10:40:00,39.031,
2024-06-01 10:41:00,39.219,
2024-06-01 10:41:00,39.219,
2024-06-01 10:42:00,39.344,
2024-06-01 10:42:00,39.531,
2024-06-01 10:43:00,39.75,
2024-06-01 10:43:00,40.031,
2024-06-01 10:44:00,39.969,
2024-06-01 10:44:00,40.094,
2024-06-01 10:45:00,40.219,
2024-06-01 10:45:00,40.5,
2024-06-01 10:46:00,40.562,
2024-06-01 10:46:00,40.562,
2024-06-01 10:47:00,40.75,
2024-06-01 10:47:00,40.75,
2024-06-01 10:48:00,40.656,
2024-06-01 10:48:00,41.156,
2024-06-01 10:49:00,41.344,
2024-06-01 10:49:00,41.312,
2024-06-01 10:50:00,41.344,
2024-06-01 10:50:00,41.094,
2024-06-01 10:51:00,41.281,
2024-06-01 10:51:00,41.438,
2024-06-01 10:52:00,41.625,
2024-06-01 10:52:00,41.719,
2024-06-01 10:53:00,42.094,
2024-06-01 10:53:00,41.875,
2024-06-01 10:54:00,41.875,
2024-06-01 10:54:00,41.781,
2024-06-01 10:55:00,41.844,
2024-06-01 10:55:00,42.281,
2024-06-01 10:56:00,42.312,
2024-06-01 10:56:00,42.062,
2024-06-01 10:57:00,41.906,
2024-06-01 10:57:00,41.875,
2024-06-01 10:58:00,42.062,
2024-06-01 10:58:00,42.031,
2024-06-01 10:59:00,42.094,
2024-06-01 10:59:00,42.25,
2024-06-01 11:00:00,42.125,
2024-06-01 11:00:00,42.344,
2024-06-01 11:01:00,42.312,
2024-06-01 11:01:00,42.469,
2024-06-01 11:02:00,42.438,
2024-06-01 11:02:00,42.781,
2024-06-01 11:03:00,42.875,
2024-06-01 11:03:00,42.938,
2024-06-01 11:04:00,43.281,
2024-06-01 11:04:00,43.062,
2024-06-01 11:05:00,42.969,
2024-06-01 11:05:00,43.156,
2024-06-01 11:06:00,42.812,
2024-06-01 11:06:00,43.0,
2024-06-01 11:07:00,43.062,
2024-06-01 11:07:00,43.0,
2024-06-01 11:08:00,43.156,
2024-06-01 11:08:00,43.219,
2024-06-01 11:09:00,43.219,
2024-06-01 11:09:00,42.969,
2024-06-01 11:10:00,43.25,
2024-06-01 11:10:00,42.75,
2024-06-01 11:11:00,42.75,
2024-06-01 11:11:00,42.5,
2024-06-01 11:12:00,42.594,
2024-06-01 11:12:00,42.594,
2024-06-01 11:13:00,42.594,
2024-06-01 11:13:00,42.594,
2024-06-01 11:14:00,42.406,
2024-06-01 11:14:00,42.75,
2024-06-01 11:15:00,42.656,
2024-06-01 11:15:00,42.406,
2024-06-01 11:16:00,42.438,
2024-06-01 11:16:00,42.219,
2024-06-01 11:17:00,42.125,
2024-06-01 11:17:00,41.812,
2024-06-01 11:18:00,41.625,
2024-06-01 11:18:00,41.344,
2024-06-01 11:19:00,41.344,
2024-06-01 11:19:00,41.281,
2024-06-01 11:20:00,41.219,
2024-06-01 11:20:00,40.812,
2024-06-01 11:21:00,40.781,
2024-06-01 11:21:00,40.812,
2024-06-01 11:22:00,40.906,
2024-06-01 11:22:00,40.625,
2024-06-01 11:23:00,40.312,
2024-06-01 11:23:00,40.062,
2024-06-01 11:24:00,39.906,
2024-06-01 11:24:00,39.938,
2024-06-01 11:25:00,39.5,
2024-06-01 11:25:00,39.188,
2024-06-01 11:26:00,39.031,
