Timestamp,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32
2024/6/1 0:32,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:33,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:33,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:34,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:34,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:35,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:35,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:36,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:36,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:37,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:37,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:38,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:38,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:39,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:39,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:40,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:40,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:41,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:41,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:42,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:42,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:43,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:43,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:44,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:44,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:45,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:45,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:46,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:46,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:47,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:47,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:48,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:48,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:49,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:49,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:50,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:50,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:51,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:51,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:52,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:52,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:53,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:53,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:54,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:54,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:55,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:55,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:56,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:56,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:57,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:57,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:58,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:58,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:59,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 0:59,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 1:00,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 1:00,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 1:01,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
2024/6/1 1:01,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,0
